startup_name,domain,round,amount_usd,investor,date,source,scraped_at,headquarters
Arata,D2C Haircare,Series A,4000000.0,Skywalker Family Office,,,2026-04-20,New Delhi
Plan B,D2C Kids Innerwear,Funding Round,,JITO Incubation,,,2026-04-20,Mumbai
Plan B,D2C Kids Innerwear,Funding Round,,Innovation Foundation,,,2026-04-20,Mumbai
The Indus Valley,D2C Kitchenware,Pre-Series A,23.1,DSG Consumer Partners,,,2026-04-20,Chennai
Nutrabay,D2C Retail,Series A,5000000.0,RPSG Capital Ventures,,,2026-04-20,New Delhi
Nutrabay,D2C Retail,Series A,5000000.0,Kotak Alternate Asset Managers,,,2026-04-20,New Delhi
ShopDeck,D2C Tech,Series B,8000000.0,Bessemer Venture Partners,,,2026-04-20,Bengaluru
ShopDeck,D2C Tech,Series B,8000000.0,Elevation Capital,,,2026-04-20,Bengaluru
ShopDeck,D2C Tech,Series B,8000000.0,Venture Highway,,,2026-04-20,Bengaluru
ShopDeck,D2C Tech,Series B,8000000.0,and Chiratae Ventures,,,2026-04-20,Bengaluru
Doodhvale Farms,Dairy,Series A,3000000.0,Atomic Capital,,,2026-04-20,Sonepat
Doodhvale Farms,Dairy,Series A,3000000.0,Singularity Early Opportunities Fund,,,2026-04-20,Sonepat
Doodhvale Farms,Dairy,Series A,3000000.0,Bharat Founders Fund,,,2026-04-20,Sonepat
Doodhvale Farms,Dairy,Series A,3000000.0,others,,,2026-04-20,Sonepat
Stellapps,Dairy Tech Solutions,Equity and Debt Funding Round,26000000.0,Blume Ventures,,,2026-04-20,Bengaluru
Stellapps,Dairy Tech Solutions,Equity and Debt Funding Round,26000000.0,Omnivore,,,2026-04-20,Bengaluru
Stellapps,Dairy Tech Solutions,Equity and Debt Funding Round,26000000.0,Bill & Melinda Gates Foundation,,,2026-04-20,Bengaluru
Stellapps,Dairy Tech Solutions,Equity and Debt Funding Round,26000000.0,IDH Farmfit Fund,,,2026-04-20,Bengaluru
Stellapps,Dairy Tech Solutions,Equity and Debt Funding Round,26000000.0,500 Global,,,2026-04-20,Bengaluru
Stellapps,Dairy Tech Solutions,Equity and Debt Funding Round,26000000.0,Blue Ashva Capital,,,2026-04-20,Bengaluru
Stellapps,Dairy Tech Solutions,Equity and Debt Funding Round,26000000.0,Miledeep Capital,,,2026-04-20,Bengaluru
Country Delight,Dairy and Essentials,Debt Funding,70.0,Alteria Capital,,,2026-04-20,Gurugram
CoRover.ai,DairyTech,Series A,,Venture Catalysts,,,2026-04-20,$4 million
Finarkein Analytics,Data Analytics,Pre-Series A,4750000.0,Nexus Venture Partners,,,2026-04-20,Pune
Datazip,Data Engineering,Seed Round,1000000.0,Equirus InnovateX Fund,,,2026-04-20,Bengaluru
e6data,Data Infrastructure,New Round,10000000.0,Accel,,,2026-04-20,
e6data,Data Infrastructure,New Round,10000000.0,Beenext,,,2026-04-20,
Induz,Data Security,New Funding Round,780000.0,YourNest Venture Capital,,,2026-04-20,Hyderabad
Induz,Data Security,New Funding Round,780000.0,SanchiConnect,,,2026-04-20,Hyderabad
Equal,Data-sharing & Identity Verification,Series A,10000000.0,Prosus Ventures,,,2026-04-20,Hyderabad
Equal,Data-sharing & Identity Verification,Series A,10000000.0,Tomales Bay Capital,,,2026-04-20,Hyderabad
Equal,Data-sharing & Identity Verification,Series A,10000000.0,Keshav Reddy,,,2026-04-20,Hyderabad
Juleo,Dating App,Funding Round,2500000.0,Ramakant Sharma,,,2026-04-20,Delhi
Juleo,Dating App,Funding Round,2500000.0,Kunal Shah,,,2026-04-20,Delhi
Juleo,Dating App,Funding Round,2500000.0,Ruchi Deepak,,,2026-04-20,Delhi
Juleo,Dating App,Funding Round,2500000.0,Harsh Jain,,,2026-04-20,Delhi
Juleo,Dating App,Funding Round,2500000.0,Lalit Keshre,,,2026-04-20,Delhi
Schmooze,Dating App,New Round,4000000.0,Elevation Capital,,,2026-04-20,
Schmooze,Dating App,New Round,4000000.0,Ultrahuman Founders,,,2026-04-20,
Schmooze,Dating App,New Round,4000000.0,The Souled Store Founders,,,2026-04-20,
Schmooze,Dating App,New Round,4000000.0,Paytm Founders,,,2026-04-20,
Fitsol,Decarbonization for Manufacturing,Seed Round,1000000.0,Transition VC,,,2026-04-20,New Delhi
DeepMatrix,Deep Tech,Funding Round,1600000.0,YourNest,,,2026-04-20,Bengaluru
DeepMatrix,Deep Tech,Funding Round,1600000.0,Arali Ventures,,,2026-04-20,Bengaluru
Perceptyne,Deep Tech AI & Robotics,Seed Round,3000000.0,Endiya Partners,,,2026-04-20,Telangana
Perceptyne,Deep Tech AI & Robotics,Seed Round,3000000.0,Yali Capital,,,2026-04-20,Telangana
Perceptyne,Deep Tech AI & Robotics,Seed Round,3000000.0,Whiteboard Capital,,,2026-04-20,Telangana
CynLr,Deep-tech Robotics,Series A,10000000.0,Pavestone,,,2026-04-20,Bengaluru
CynLr,Deep-tech Robotics,Series A,10000000.0,Athera Venture Partners,,,2026-04-20,Bengaluru
CynLr,Deep-tech Robotics,Series A,10000000.0,Speciale Invest,,,2026-04-20,Bengaluru
CynLr,Deep-tech Robotics,Series A,10000000.0,Infoedge (Redstart),,,2026-04-20,Bengaluru
CynLr,Deep-tech Robotics,Series A,10000000.0,and other investors,,,2026-04-20,Bengaluru
CastNX,Deep-tech in Power Electronics,Investment,23.22,Arpit Khandelwal,,,2026-04-20,"Dewas, Madhya Pradesh"
CastNX,Deep-tech in Power Electronics,Investment,23.22,Plutus Investments,,,2026-04-20,"Dewas, Madhya Pradesh"
CastNX,Deep-tech in Power Electronics,Investment,23.22,Holding Private Limited,,,2026-04-20,"Dewas, Madhya Pradesh"
SanchiConnect,DeepTech,Undisclosed Round,,Baring PE India,,,2026-04-20,Noida
SanchiConnect,DeepTech,Undisclosed Round,,Seafund,,,2026-04-20,Noida
SanchiConnect,DeepTech,Undisclosed Round,,8X,,,2026-04-20,Noida
Proxgy,Deeptech - Smart Assistance,Funding Round,2200000.0,Manish Patel,,,2026-04-20,
Proxgy,Deeptech - Smart Assistance,Funding Round,2200000.0,Nikhil Kamath,,,2026-04-20,
Proxgy,Deeptech - Smart Assistance,Funding Round,2200000.0,Suniel Shetty,,,2026-04-20,
Proxgy,Deeptech - Smart Assistance,Funding Round,2200000.0,Kuldeep Mathur,,,2026-04-20,
